time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,dt,step_dist,v_gps,ax_w,ay_w,az_w,acc_mag,v_imu,fused_speed,delta_alt,fused_vz
9142543,9.217559337615967,0.02686590701341625,-3.354000210762024,0.047850314527749946,-4.028269904661384e-05,0.0029934855410829,-35.1487961,148.2569567,774.02,0.019993,0.0,0.0,-0.001216105024412978,0.11595325613857217,-0.0018405041158668922,0.11597423841512498,0.0,0.0,0.0,0.0
9162543,9.217319965362549,-0.06830820068716995,-3.3544046878814697,0.0751118510961532,-7.494091914850287e-05,0.004572472302243049,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.001836712597625819,0.0266650336378014,-0.0010770332976264285,0.02674990715489595,0.0014265095959779274,1.4265095959779275e-05,0.0,-7.293843533733302e-07
9182543,9.218076705932617,-0.10570783540606496,-3.356518864631653,0.05843688361346715,-2.0638879504969993e-05,0.003526592743583,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.00038246591960051923,-0.006164642276482696,0.0007233699894602097,0.006218710374209856,0.0016320385436438861,2.039032093081209e-05,0.0,-1.0314563558588103e-06
9202543,9.217080116271973,-0.10447227209806435,-3.3568544387817383,0.04060042649507515,-6.559749454027042e-05,0.0024740932276472,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0003840741415000208,-0.0017632188456956216,-0.00010964423513470933,0.0018078925582797928,0.0015528028724177184,2.305675506019766e-05,0.0,-1.1057766378108627e-06
9222543,9.215912818908691,-0.1077141463756561,-3.357412099838257,0.024020943790674147,3.710078453877941e-05,0.0014906690921634,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0013485108534336673,-0.0031360420223506685,-0.0009808962386959053,0.0035518162281944488,0.0015033319261059663,2.4458731752581992e-05,0.0,-1.2594228543651555e-06
9242543,9.216131210327148,-0.10796584933996195,-3.35705304145813,0.0072270035743713,7.80485843278758e-05,0.00051527167670425,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0009690440542617909,-0.0028030563855368507,-0.0008956862727966808,0.003098132563154045,0.0014435761818064716,3.023303647980788e-05,0.0,-1.8218826496308794e-06
9262543,9.215179443359375,-0.10883178934454915,-3.358564019203186,-0.0095837567932903,0.0001282398388866277,-0.00040410360088565,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.002705592675392522,-0.0044073048378280855,-0.0012639928376234622,0.005323743565597795,0.0013716406046657922,3.0013560514559333e-05,0.0,-2.3085566145892857e-06
9282543,9.216602325439453,-0.10876060277223584,-3.357740044593811,-0.0264062145724892,0.0001690328790573,-0.0014029251178725999,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0014060158916512587,-0.006344818862943996,-0.0002108449022681924,0.006502158308128026,0.0012656041366452245,2.8547822886564695e-05,0.0,-2.9073480227202355e-06
9302543,9.217390060424805,-0.10393748059868804,-3.3562272787094116,-0.04404638148844235,0.00030444689036805,-0.002392976777628,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.0002968006576401607,-0.004900689270252737,-3.975709389436588e-05,0.00490982958772103,0.0011539998840984882,2.6952610933287767e-05,0.0,-3.592572205899992e-06
9322543,9.216372013092041,-0.10184668749570841,-3.3572715520858765,-0.06126548722386355,0.00038595273508685,-0.00343398505356155,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0009624685786446324,-0.007576550283968864,-0.0006626230185560189,0.007666128699357139,0.001030054853779926,2.505950264398361e-05,0.0,-4.238980352941724e-06
9342543,9.216506004333496,-0.049866119399666745,-3.3536808490753174,-0.0730478428304195,0.0003744216228369,-0.00417117564938955,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.0019082094102962992,0.03875963380663802,-0.0022408856682307743,0.03887122386234195,0.0013405444423356568,2.464737568610035e-05,0.0,-4.9880811175128765e-06
9362543,9.2170090675354,0.0309577779844403,-3.352714776992798,-0.03825699165463445,0.00014133333752395,-0.00216832512523975,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.0019162340960259836,0.11662352656503469,-0.0027931503403166857,0.11667270713581535,0.002892555119764265,3.073103374649424e-05,0.0,-6.0246175718967625e-06
9382543,9.216861724853516,0.031366690061986405,-3.3555322885513306,0.010527862701564951,0.0001138539082603,0.0007436238811351,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0008150064907095557,0.11784548272289144,-0.001981207104467586,0.1178649532955492,0.005237083035480715,4.6616949341836204e-05,0.0,-7.391105996769909e-06
9402543,9.21684217453003,0.02105252165347335,-3.3549622297286987,0.05867856554687015,2.5015987375809345e-05,0.00352912500966335,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.00018761041111070174,0.11212541466233045,-0.0021550635239613314,0.11214627996352894,0.007536813763994082,7.214820486141859e-05,0.0,-9.146161284869691e-06
9422543,9.217032432556152,-0.0897424481809139,-3.3554341793060303,0.06943907216191285,-0.0001155468562501094,0.00424729543738065,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.0006705189656998351,0.006784039159923136,-0.0007883788415679049,0.0068625304519955126,0.00872587952462626,0.00010293150354480392,0.0,-1.112532279827736e-05
9442543,9.220507621765137,-0.10814342275261875,-3.5203678607940674,0.0505824908614158,-0.00033381930552419997,0.0031244445126503,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.1529875890872339,-0.00862818535654987,0.059091449076161595,0.1642298613261057,0.008844805764977712,0.00013294854883537214,0.0,-6.98382641954698e-06
9462543,9.21757936477661,-0.10607967525720591,-3.362161159515381,0.03286771476268765,5.7573988669901155e-05,0.00204666133504355,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0054561709690195475,-0.003029303166596345,0.0021919548861646376,0.006614464871877648,0.00914581637315268,0.0001579615938489258,0.0,3.7894139562707718e-06
9482543,9.215799331665037,-0.10775902122259134,-3.352343201637268,0.01619377173483365,7.938826638564933e-05,0.0010560998925938998,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.0031168171265939446,-0.0033972288071763695,-0.002821353007602667,0.00540515914311937,0.009093582699912148,0.00017338759250665154,0.0,1.4977150264423148e-05
9502543,9.215023040771484,-0.1073414534330368,-3.3560291528701782,-0.0011969357146881,0.00013372896137295,9.860628415478074e-05,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0006392754717283611,-0.0030717549681455736,-0.002294169371856114,0.003886845098514116,0.009024314830780379,0.00017933759677379673,0.0,2.6066961397472538e-05
9522543,9.216259002685547,-0.1072703562676906,-3.3568750619888306,-0.018126060254871748,0.0002294116711709,-0.0009393566288053499,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0010077891458741674,-0.004378964336118188,-0.0008447394920363394,0.0045721496507597605,0.0089602706519397,0.00018027516128305048,0.0,3.713722588068561e-05
9542543,9.217189311981201,-0.10484664514660835,-3.357039213180542,-0.035212557762861196,0.0003033714310731,-0.0019186052377335502,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0008315809516111527,-0.004661942872240615,5.919887808758517e-05,0.004735899358124539,0.008882249312151782,0.00018042493547174677,0.0,4.229862927904443e-05
9562543,9.216904163360596,-0.10297774523496625,-3.3561099767684937,-0.052149336785078,0.00036763149546455,-0.0028247969457879498,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,4.673830824780678e-06,-0.006811882618709367,-0.0005476938319386448,0.006833866781648073,0.008778192847506541,0.00017895444136916221,0.0,4.1282842785785525e-05
9582543,9.218559265136719,-0.09274809062480921,-3.356381893157959,-0.06979191675782201,0.00034535082522775,-0.00392544176429505,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.00030563039027193184,-0.0019716075120836535,0.001000589400915075,0.0022320002836886147,0.00869527980786877,0.00017736122980098872,0.0,4.037528566156806e-05
9602543,9.217575073242188,0.01779635250568385,-3.352471351623535,-0.0511602871119976,0.0001249196939169914,-0.0029867694247513498,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.002248430360200712,0.10459983483089146,-0.0022415953700694047,0.10464800827315139,0.009649547089637828,0.0001798621588364185,0.0,3.985518017838104e-05
9622543,9.216870307922363,0.03187664970755575,-3.3541107177734375,-0.0030870188493281,4.948771129416591e-05,-0.00013093750749244235,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.0002663218061361094,0.11842168872574979,-0.0024646656944362633,0.11844763342907333,0.011773351510008936,0.00019111448226869542,0.0,3.917833947513271e-05
9642543,9.21666669845581,0.026527239941060453,-3.3534042835235596,0.0441753584891557,6.815965298298166e-05,0.002774023101665,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.0008957367066673364,0.11655099885459065,-0.0028911459105778192,0.11659029291895065,0.014050031251897944,0.00021178561002768007,0.0,3.804447167277783e-05
9662543,9.217554092407228,-0.0700745098292827,-3.35590136051178,0.07004273310303685,-4.6126048800942954e-05,0.0042468174360692,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,4.851961534915934e-05,0.025433239365334245,-0.0003292118008815237,0.025435416237547616,0.015436061640328689,0.0002384170851989687,0.0,3.663741759466213e-05
9682543,9.217138290405273,-0.1064423955976963,-3.356809616088867,0.053267857059836346,2.1535179257625714e-05,0.00325218832585955,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0007764131839087848,-0.0067683201411393445,-5.134398108452842e-05,0.0068129003493001055,0.015620581809293037,0.00026611829320466576,0.0,3.5147018381452184e-05
9702543,9.217763900756836,-0.10563460364937774,-3.355980634689331,0.0349266547709703,-1.7782396753318604e-05,0.0021547436481341,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-0.00011530776542992586,-0.0032061053808344897,0.0002459565286265786,0.0032175926105954353,0.015524179607260115,0.0002896168232751549,0.0,3.380018101991187e-05
9722543,9.21701955795288,-0.1054235622286796,-3.357167959213257,0.0179357258602976,0.0001622961935936075,0.0011885332060046,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,0.0013375508502824556,-0.0015891335500406861,-4.913105374804161e-05,0.002077691405719008,0.015479677739586901,0.00030444212819346673,0.0,3.294365231230998e-05
